# gunzip -c exp2/tri4a/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang_v1 
# Started at Thu Nov  1 03:02:28 EDT 2018
#
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 9.78371532865% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 47.9054406397% of the time at utterance end.  This may not be optimal.
At utterance begin, nonsilence accounts for 81.4% of phone occurrences, with duration (median, mean, 95-percentile) is (9,11.7,29) frames.
At utterance begin, Y_B accounts for 16.0% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.1,20) frames.
At utterance begin, sil accounts for 9.8% of phone occurrences, with duration (median, mean, 95-percentile) is (30,51.9,187) frames.
At utterance begin, oov_S accounts for 8.8% of phone occurrences, with duration (median, mean, 95-percentile) is (35,40.6,95) frames.
At utterance begin, S_B accounts for 6.9% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.3,21) frames.
At utterance begin, AH_B accounts for 6.2% of phone occurrences, with duration (median, mean, 95-percentile) is (18,19.8,43) frames.
At utterance begin, OW_B accounts for 4.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.6,19) frames.
At utterance begin, W_B accounts for 4.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.1,13) frames.
At utterance begin, DH_B accounts for 3.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.1,11) frames.
At utterance begin, AY_S accounts for 3.9% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.6,24) frames.
At utterance begin, IH_B accounts for 3.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.0,14) frames.
At utterance begin, B_B accounts for 3.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.7,11) frames.
At utterance begin, M_B accounts for 3.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.6,18) frames.
At utterance begin, AH_S accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (23,26.5,63) frames.
At utterance begin, N_B accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.0,18) frames.
At utterance begin, HH_B accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.6,13) frames.
At utterance begin, M_S accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (24,27.4,62) frames.
At utterance begin, AE_B accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.6,25) frames.
At utterance begin, OW_S accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (18,20.9,45) frames.
At utterance begin, K_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.2,13) frames.
At utterance begin, R_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.4,17) frames.
At utterance begin, AO_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.0,22) frames.
At utterance begin, L_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.8,13) frames.
At utterance begin, T_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.2,13) frames.
At utterance begin, D_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.0,11) frames.
At utterance begin, F_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.4,18) frames.
At utterance begin, EH_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.5,15) frames.
At utterance begin, AY_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.0,19) frames.
At utterance end, sil accounts for 47.9% of phone occurrences, with duration (median, mean, 95-percentile) is (37,54.5,153) frames.
At utterance end, nonsilence accounts for 43.3% of phone occurrences, with duration (median, mean, 95-percentile) is (11,13.7,33) frames.
At utterance end, oov_S accounts for 8.8% of phone occurrences, with duration (median, mean, 95-percentile) is (58,71.5,164) frames.
At utterance end, AE_E accounts for 6.2% of phone occurrences, with duration (median, mean, 95-percentile) is (14,15.8,32) frames.
At utterance end, T_E accounts for 5.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,10.7,36) frames.
At utterance end, M_E accounts for 4.1% of phone occurrences, with duration (median, mean, 95-percentile) is (11,14.9,37) frames.
At utterance end, EY_E accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.9,27) frames.
At utterance end, S_E accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (13,15.2,34) frames.
At utterance end, N_E accounts for 2.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.8,23) frames.
At utterance end, Z_E accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.6,27) frames.
At utterance end, IY_E accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (12,13.5,30) frames.
At utterance end, OW_E accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (15,16.8,36) frames.
At utterance end, L_E accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.8,24) frames.
At utterance end, D_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,9.0,28) frames.
At utterance end, M_S accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (24,27.5,55) frames.
At utterance end, R_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.3,23) frames.
At utterance end, NG_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.1,22) frames.
At utterance end, UW_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.9,29) frames.
At utterance end, ER_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.9,24) frames.
At utterance end, K_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.2,25) frames.
At utterance end, P_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.9,22) frames.
At utterance end, AH_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (12,13.9,31) frames.
At utterance end, AH_S accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (26,29.0,62) frames.
Overall, nonsilence accounts for 89.4% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.2,20) frames.
Overall, sil accounts for 7.7% of phone occurrences, with duration (median, mean, 95-percentile) is (21,35.9,111) frames.
Overall, AH_I accounts for 4.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.7,11) frames.
Overall, T_E accounts for 3.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.3,19) frames.
Overall, IH_I accounts for 3.4% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.5,10) frames.
Overall, N_I accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.6,12) frames.
Overall, oov_S accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (40,48.0,123) frames.
Overall, DH_B accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.8,12) frames.
Overall, IY_E accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.8,27) frames.
Overall, IH_B accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.4,16) frames.
Overall, T_I accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.0,11) frames.
Overall, N_E accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.2,20) frames.
Overall, W_B accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.5,15) frames.
Overall, EH_I accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.8,13) frames.
Overall, Y_B accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.0,20) frames.
Overall, S_B accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.9,19) frames.
Overall, R_I accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.5,10) frames.
Overall, D_E accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.9,14) frames.
Overall, Z_E accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.8,23) frames.
Overall, AH_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,11.9,35) frames.
Overall, AE_I accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.2,15) frames.
Overall, S_E accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.5,26) frames.
Overall, K_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.5,13) frames.
Overall, AH_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (5,8.3,28) frames.
Overall, L_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.8,10) frames.
Overall, T_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.1,15) frames.
Overall, UW_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (5,8.4,24) frames.
Overall, IY_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.6,15) frames.
Overall, AH_S accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (17,21.4,55) frames.
Overall, L_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.9,22) frames.
Overall, B_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.8,13) frames.
Overall, S_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.9,14) frames.
Overall, K_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.1,14) frames.
Overall, M_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (11,15.3,41) frames.
Overall, AY_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.1,19) frames.
Overall, M_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.3,16) frames.
Overall, OW_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (11,13.6,33) frames.
Overall, HH_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.5,15) frames.
Overall, AA_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.2,14) frames.
Overall, V_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.5,19) frames.
Overall, R_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.1,21) frames.
Overall, EY_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.4,17) frames.
Overall, D_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.5,12) frames.
Overall, AE_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (13,14.8,31) frames.
Overall, K_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.8,20) frames.
Overall, F_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.4,18) frames.
Overall, N_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.4,15) frames.
Overall, ER_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.3,23) frames.
Overall, M_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,5.9,10) frames.
Overall, OW_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.4,16) frames.
Overall, AY_S accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,12.0,27) frames.
Overall, NG_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.0,20) frames.
Overall, P_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.3,14) frames.
Overall, ER_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.5,17) frames.
